CustomerID,Gender,Age,MaritalStatus,AnnualIncome,MembershipStatus,ChannelPreference,LastPurchaseDate,Frequency,AverageOrderValue,RecencyDays,CampaignResponseRate,WebsiteVisitsLastMonth,CartAbandonmentRate,LoyaltyScore,CLV
1001,Other,56,Single,51746.48,Silver,Social Media,2025-03-09,15,83.5,34,0.61,11,0.22,68.58,2111.46
1002,Male,45,Married,63331.18,Silver,Email,2025-02-01,12,111.64,70,0.36,7,0.33,80.6,2419.46
1003,Other,34,Single,72338.17,Gold,Email,2025-02-25,10,95.61,46,0.08,7,0.46,64.2,1569.92
1004,Male,43,Single,61446.25,Silver,Email,2025-01-28,9,49.83,74,0.58,14,0.08,58.14,709.21
1005,Other,61,Married,72521.93,Gold,Push Notification,2025-03-29,12,115.59,14,0.19,10,0.47,90.64,2644.33
1006,Male,47,Widowed,64464.76,Gold,Email,2025-04-09,12,143.14,3,0.09,8,0.37,54.02,2645.57
1007,Male,45,Widowed,70861.25,Silver,SMS,2025-03-27,9,30.06,16,0.31,10,0.27,67.29,452.59
1008,,41,Divorced,45854.15,Silver,Push Notification,2025-03-17,9,66.11,26,0.46,3,0.28,68.68,1003.63
1009,Male,49,Divorced,92380.93,Platinum,Social Media,2025-02-20,6,59.06,51,0.41,6,0.32,87.86,665.7
1010,Male,43,Widowed,36740.05,Gold,Push Notification,2025-04-05,13,112.91,7,0.36,14,0.23,94.61,2856.54
1011,Male,19,Divorced,75007.28,Platinum,Social Media,2025-03-15,8,114.04,28,0.31,13,0.37,72.53,1574.03
1012,Other,35,Married,62622.5,Gold,Email,2025-04-03,14,56.91,9,0.14,11,0.21,77.19,1411.74
1013,Other,39,Married,73180.1,Platinum,Email,2025-04-07,13,90.32,5,0.38,8,0.29,86.11,2185.23
1014,Male,52,Single,45757.21,Silver,Push Notification,2025-02-25,9,74.72,46,0.28,8,0.42,64.08,1103.41
1015,Other,59,Divorced,67725.53,Silver,Social Media,2025-01-13,12,125.8,89,0.26,8,0.41,76.23,2660.37
1016,Male,39,Divorced,53782.02,Gold,Email,2025-03-31,10,92.67,12,0.23,10,0.14,81.63,1683.17
1017,Other,34,Married,40381.29,Gold,SMS,2025-04-04,15,52.12,8,0.02,15,0.19,83.67,1435.93
1018,Male,22,Widowed,40097.52,Silver,SMS,2025-02-24,9,120.94,47,0.56,10,0.72,55.5,1692.56
1019,Other,22,Divorced,55134.07,Platinum,Email,2025-02-09,12,112.08,62,0.31,12,0.36,82.01,2447.96
1020,Male,18,Single,64214.88,Platinum,Push Notification,2025-02-03,6,131.39,68,0.22,12,0.32,84.44,1454.01
1021,Female,27,Single,85174.58,Silver,Social Media,2025-01-13,13,45.32,89,0.03,7,0.37,54.87,912.43
1022,Male,37,Widowed,52152.18,Silver,Push Notification,2025-02-16,17,31.3,55,0.44,17,0.37,68.3,895.52
